selection,selection_label,target_count,healpix_level,nside,pixel_width_deg,containing_pixels,neighbor_expanded_pixels,area_containing_deg2,area_neighbor_expanded_deg2
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,2,4,14.658075,192,192,41252.961249,41252.961249
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,3,8,7.329038,701,768,37654.070099,41252.961249
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,4,16,3.664519,1452,3056,19498.469966,41038.102076
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,5,32,1.832259,1912,9263,6418.917799,31097.508142
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,6,64,0.916130,2078,15379,1744.052195,12907.496970
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,7,128,0.458065,2134,18043,447.763160,3785.843810
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,8,256,0.229032,2152,18988,112.884995,996.031733
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,9,512,0.114516,2155,19266,28.260591,252.653615
raw_11_lt_Hpmag_le_12,11 < Hpmag <= 12,2500,10,1024,0.057258,2157,19370,7.071705,63.504367
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,2,4,14.658075,171,192,36740.918613,41252.961249
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,3,8,7.329038,364,765,19552.184759,41091.816870
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,4,16,3.664519,479,2291,6432.346497,30765.147859
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,5,32,1.832259,519,3869,1742.373607,12988.908453
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,6,64,0.916130,540,4563,453.218568,3829.696903
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,7,128,0.458065,542,4775,113.724289,1001.906789
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,8,256,0.229032,545,4839,28.588440,253.833872
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,9,512,0.114516,545,4872,7.147110,63.891229
raw_12_lt_Hpmag_le_15,12 < Hpmag <= 15,630,10,1024,0.057258,545,4883,1.786777,16.008871
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,2,4,14.658075,192,192,41252.961249,41252.961249
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,3,8,7.329038,734,768,39426.658277,41252.961249
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,4,16,3.664519,1694,3068,22748.214960,41199.246456
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,5,32,1.832259,2326,10122,7808.788075,33981.321107
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,6,64,0.916130,2579,18308,2164.538311,15365.788057
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,7,128,0.458065,2665,22227,559.179391,4663.744963
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,8,256,0.229032,2691,23625,141.158700,1239.269523
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,9,512,0.114516,2696,24081,35.355245,315.797348
raw_11_lt_Hpmag_le_15,11 < Hpmag <= 15,3130,10,1024,0.057258,2698,24231,8.845368,79.441111
