catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,brightest,1,1576683529448755328,193.50817846782095,55.959784778923755,2016.0,,,,,,,,3,0,False,6,2.3674035,2.5359015,0,0,1.731607,64.63143,2.4691198,19.758657,2.1307526,46.093388,0.6591185,0.33836722,VARIABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;phot_variable,4
gaia_dr3,brightest,2,6560604777055249536,332.05907779469464,-46.96161734131188,2016.0,,,,,,,,3,0,False,4,1.3864377,76.99746,0,0,1.7732803,149.55763,2.3980012,67.9512,2.1459453,53.283367,0.70656466,0.25205588,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3
gaia_dr3,brightest,3,1510374147844219904,206.8843267438112,49.313201807217496,2016.0,,,,,,,,3,0,False,7,2.085085,4.442634,0,0,1.881019,221.05907,2.4719384,22.09079,2.3064141,26.558126,0.70530695,0.16552424,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3
gaia_dr3,brightest,4,3377166289889430656,95.74037353106223,22.51309871600816,2016.0,,,,,,,,3,0,False,5,53.569344,467.96942,0,0,1.8813683,110.501656,3.6220174,22.331223,1.7436333,32.89164,0.6238174,1.8783841,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3
gaia_dr3,brightest,5,418551920284673408,10.12724197930297,56.53718879378639,2016.0,14.090976249252234,0.4987775,49.12564571845064,0.34594715,-31.595374311196693,0.44690913,3.2626884,95,0,False,9,1.053858,0.75478697,0,0,1.9425238,385.94086,2.9869862,42.22935,1.8435026,34.021805,0.7382574,1.1434835,NOT_AVAILABLE,,58.408875568010686,70.9674036994468,0.035396944818647705,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,6,4677205714465503104,69.1893185844083,-62.07749050901024,2016.0,,,,,,,,3,0,False,7,4.0775447,4.183867,44,0,1.9587749,141.57024,5.5383353,81.303825,1.7679414,71.87498,0.52864796,3.7703938,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4
gaia_dr3,brightest,7,6026152137856166912,252.53759018899078,-34.294371751412214,2016.0,,,,,,,,3,0,False,8,1.1910527,0.89617044,0,0,1.9910356,448.48032,3.0884519,37.370518,1.9007559,50.440197,0.72136766,1.187696,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,8,4357027756659697664,243.58621066034064,-3.694967708333353,2016.0,20.411292350652413,0.5400344,-45.34001940987892,0.58751863,-144.43272215287442,0.56956905,2.846696,95,0,False,9,1.6170623,0.9593327,0,0,2.0164251,196.39581,3.482232,25.04654,1.9189217,45.850563,0.6484777,1.5633104,NOT_AVAILABLE,,151.3820616472692,48.99248821782892,0.02645762963266979,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,9,426558460884582016,14.177450998208093,60.71672280471204,2016.0,,,,,,,,3,0,False,8,2.041724,6.690794,0,0,2.0645833,185.83832,2.7258432,19.170858,2.3151085,29.685698,0.7286228,0.41073465,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,10,3011968416163350272,86.93912852502406,-9.669607137549677,2016.0,,,,,,,,3,0,False,7,2.7801316,1.2755806,9,0,2.0778263,215.83467,2.5271733,24.92374,2.327674,143.15729,0.8138415,0.19949937,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3
