catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_query,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,high_pm,1,4472832130942575872,269.44850252543836,4.739420051112412,2016.0,546.975939730948,0.040116355,-801.5509783684709,0.031820867,10362.394206546573,0.036070455,1.0848505,31,0,False,17,0.20481846,0.056859974,0,0,8.1939745,1553.9851,9.791788,951.9071,6.9580913,1518.3344,1.4803807,2.8336968,NOT_AVAILABLE,3099.6335,10393.348722273944,10393.348722273944,1.828233981355542,7.334208309573055e-05,,0
gaia_dr3,high_pm,2,4810594479418041856,77.9599373502188,-45.0438126993602,2016.0,254.19859326384577,0.016842743,6491.223339061598,0.018412089,-5708.614150045243,0.020839408,1.1701684,95,0,False,30,0.16521,0.029613469,0,0,8.063552,2756.581,9.086244,1321.6621,7.059598,1823.6312,1.3439342,2.0266457,NOT_AVAILABLE,3451.8704,8644.319287929779,8644.319287929779,3.9339320771222708,6.625820845662951e-05,,0
gaia_dr3,high_pm,3,4034171629042489088,178.26735320817272,37.69282694689086,2016.0,109.02963997046682,0.019686269,4002.654640989075,0.015417756,-5817.8001940492695,0.015943848,0.88005906,31,0,False,17,0.10210104,0.024497034,0,0,6.1985016,4282.0522,6.607422,1349.507,5.6057725,1464.9336,1.2242378,1.0016494,NOT_AVAILABLE,5043.2183,7061.730897797727,7061.730897797727,9.171817867791482,0.0001805588704858351,,0
gaia_dr3,high_pm,4,6553614253923452800,346.5039166796005,-35.8471642082214,2016.0,304.1353692001036,0.01999573,6765.995136250774,0.020218689,1330.2852747179845,0.016431512,0.9320045,31,0,False,16,0.10535187,0.029434865,0,0,6.5220323,1743.944,7.5897913,379.16144,5.491506,833.35223,1.3587297,2.0982852,NOT_AVAILABLE,3376.0845,6895.5310959998305,6895.5310959998305,3.2880095551861235,6.574615252041628e-05,,0
gaia_dr3,high_pm,5,2306965202564744064,1.3832841523481234,-37.36774402806293,2016.0,230.09703402875448,0.036182754,5633.438087895326,0.026583562,-2334.7212726520424,0.030039242,1.4012543,95,0,False,17,0.21676818,0.046419866,0,0,7.6824937,1925.0731,8.802319,1023.50116,6.6162696,1499.1875,1.3823787,2.186049,NOT_AVAILABLE,3355.3533,6098.077411047167,6098.0774110471675,4.345992568835256,0.00015724997888160323,ruwe_gt_1p4,1
gaia_dr3,high_pm,6,1872046609345556480,316.7484792940004,38.76386244649797,2016.0,285.99494829578117,0.05989728,4164.2086922846665,0.055289943,3249.613883848584,0.055022996,1.2043179,95,0,False,24,0.5273935,0.08044356,0,0,4.766713,1728.2694,5.4397926,1449.9795,3.977203,379.855,1.2611508,1.4625897,NOT_AVAILABLE,4353.7437,5282.104166617755,5282.104166617755,3.4965652573897277,0.0002094347525591576,,0
gaia_dr3,high_pm,7,3098328182579892096,122.99468256110134,8.750401522062495,2016.0,147.72184850183513,0.094956644,1069.811738087307,0.09832055,-5094.220103378359,0.06350003,2.0968676,95,0,False,16,0.64233726,0.13992575,4,0,11.397289,1080.4131,13.130089,917.3114,10.137975,1475.3282,1.4895821,2.992114,NOT_AVAILABLE,,5205.341066310027,5205.341066310027,6.769479329847251,0.0006428070379733569,ruwe_gt_1p4,1
gaia_dr3,high_pm,8,1872046574983497216,316.753662752556,38.75607277205679,2016.0,286.0053518616485,0.028940246,4105.976428209489,0.025807729,3155.9416398273515,0.026797226,0.9611461,31,0,False,25,0.2566724,0.039712988,1,0,5.4506445,2453.65,6.272253,1686.9926,4.5569124,466.02036,1.2990199,1.7153406,NOT_AVAILABLE,3889.6328,5178.707373757288,5178.707373757288,3.4964380683468383,0.00010118777610548745,,0
gaia_dr3,high_pm,9,35227046884571776,43.26964247679057,16.86437381897744,2016.0,260.98844068047276,0.09342672,3429.0828268077694,0.087942876,-3805.54112273733,0.08326042,1.3042897,31,0,False,13,0.5613684,0.13907665,0,0,12.263103,860.73987,15.31863,317.8546,10.790128,665.36365,1.6780396,4.5285025,NOT_AVAILABLE,,5122.572817437822,5122.572817437822,3.831587320084787,0.00035797263305726814,,0
gaia_dr3,high_pm,10,762815470562110464,165.83095967577933,35.948653032660104,2016.0,392.75294543876464,0.03206665,-580.0570872139048,0.025565954,-4776.588719443488,0.030034095,0.9638494,95,0,False,16,0.19310217,0.047287855,0,0,6.551172,2079.2886,7.6911216,974.18225,5.475513,1037.6364,1.3874384,2.2156086,NOT_AVAILABLE,3511.045,4811.680165923527,4811.680165923527,2.5461298549469777,8.16458566665233e-05,,0
