catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,nearest,1,5853498713190525696,217.39232147200883,-62.67607511676666,2016.0,768.0665391873573,0.049872905,-3781.741008265163,0.031386077,769.4650146478623,0.050524533,0.97145325,95,0,False,26,0.48888475,0.076739505,11,0,8.984749,1527.8928,11.373116,420.41574,7.5685353,618.5337,1.6316793,3.8045802,NOT_AVAILABLE,2829.3542,3859.2280915179717,1.3019705311704333,6.493305263462304e-05,ipd_frac_multi_peak_gt_10,1
gaia_dr3,nearest,2,4472832130942575872,269.44850252543836,4.739420051112412,2016.0,546.975939730948,0.040116355,-801.5509783684709,0.031820867,10362.394206546573,0.036070455,1.0848505,31,0,False,17,0.20481846,0.056859974,0,0,8.1939745,1553.9851,9.791788,951.9071,6.9580913,1518.3344,1.4803807,2.8336968,NOT_AVAILABLE,3099.6335,10393.348722273944,1.828233981355542,7.334208309573055e-05,,0
gaia_dr3,nearest,3,3864972938605115520,164.10319030755974,7.002726940984864,2016.0,415.17941567802137,0.06837086,-3866.3382751436793,0.08130645,-2699.214987679166,0.06910815,0.8353354,95,0,False,15,0.5361268,0.11572574,3,0,11.038391,722.8211,13.770287,232.04747,9.58545,504.92255,1.6632524,4.1848364,NOT_AVAILABLE,,4715.329596916088,2.408597252748958,0.00016467785675993774,,0
gaia_dr3,nearest,4,762815470562110464,165.83095967577933,35.948653032660104,2016.0,392.75294543876464,0.03206665,-580.0570872139048,0.025565954,-4776.588719443488,0.030034095,0.9638494,95,0,False,16,0.19310217,0.047287855,0,0,6.551172,2079.2886,7.6911216,974.18225,5.475513,1037.6364,1.3874384,2.2156086,NOT_AVAILABLE,3511.045,4811.680165923527,2.5461298549469777,8.16458566665233e-05,,0
gaia_dr3,nearest,5,2947050466531873024,101.28662552099249,-16.720932526023173,2016.0,374.48958852876103,0.2313347,-461.570505530133,0.2779457,-914.5196209016666,0.33150372,2.4190555,31,0,False,10,1.4752191,0.5408754,18,0,8.524133,621.3722,8.120362,23.208166,8.398789,27.79296,1.5243522,-0.27842712,NOT_AVAILABLE,,1024.3990768199035,2.6703012063129745,0.0006177333316242286,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3
gaia_dr3,nearest,6,5140693571158946048,24.771674208211856,-17.947682860008488,2016.0,373.8443122683992,0.50087124,3178.6942575748953,0.42692018,584.0613350385156,0.30229247,10.453167,95,0,False,17,3.8557587,0.5988125,10,0,10.817838,538.3399,13.252207,108.16757,9.423653,70.54292,1.5971872,3.8285542,NOT_AVAILABLE,,3231.9073047082566,2.674910296032687,0.001339785639785485,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,nearest,7,5140693571158739840,24.771554293454546,-17.948299887129313,2016.0,367.71189618147696,0.74180114,3385.315810465071,0.67216444,544.3863845619521,0.3787539,12.367461,31,0,False,16,4.83881,0.9893841,9,0,10.507542,1439.128,12.820644,194.82921,9.067688,86.96797,1.6715958,3.7529564,NOT_AVAILABLE,,3428.807325044849,2.7195203918735054,0.0020173433342675013,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,nearest,8,4075141768785646848,282.4587890175222,-23.83709744872712,2016.0,336.0266016683708,0.031666122,639.367850335873,0.03683873,-193.95792507116096,0.031829588,0.98801184,31,0,False,14,0.183824,0.05550491,0,0,9.126414,1233.3462,10.732183,341.96747,7.898147,798.3095,1.4699805,2.8340364,NOT_AVAILABLE,3117.376,668.1398990787973,2.9759548649868903,9.423695094286171e-05,,0
gaia_dr3,nearest,9,1926461164913660160,355.4800152581559,44.170375700747755,2016.0,316.48118678226916,0.044448785,112.52746493350043,0.036434025,-1591.6497618145506,0.026793785,1.0273284,31,0,False,20,0.32418355,0.057287626,8,0,10.379277,1519.5181,12.546428,527.5998,9.017014,1637.9124,1.5746436,3.5294142,VARIABLE,,1595.6225727435283,3.159745481768476,0.00014044684910265057,phot_variable,1
gaia_dr3,nearest,10,5164707970261890560,53.22829341517546,-9.458168216292322,2016.0,310.5772928005821,0.13549915,-974.758145249517,0.15972257,20.875840089774208,0.120366044,2.7166147,95,0,False,15,1.0014182,0.23341273,0,0,3.465752,795.8834,3.9824479,119.53091,2.8421502,397.66736,1.198171,1.1402977,NOT_AVAILABLE,5002.0435,974.9816626120372,3.219810408490127,0.00043628157209783753,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
