catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,brightest,1,32349,X,0,4,101.28854105,-16.71314306,379.21,1.58,-546.01,-1223.07,-1.0876,0.009,HIP1,1339.412985228977,2.6370614,0.004166557,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,2,30438,,5,0,95.9878779,-52.69571787,10.55,0.56,19.93,23.24,-0.5536,0.164,HIP1,30.61539645341866,94.78673,0.053080566,,0
hipparcos2,brightest,3,91262,,1,0,279.23410825,38.78299326,130.23,0.36,200.94,286.23,0.0868,-0.001,HIP1,349.72059776341456,7.6787224,0.0027643403,hip_solution_type_not_5,1
hipparcos2,brightest,4,69673,,55,3,213.91811408,19.18727046,88.83,0.54,-1093.39,-2000.06,0.1114,1.239,HIP1,2279.416963984431,11.257458,0.0060790274,hip_solution_type_not_5,1
hipparcos2,brightest,5,71683,D,95,3,219.92040813,-60.83514522,754.81,4.11,-3679.25,473.67,0.1373,0.71,HIP1,3709.615051646195,1.3248367,0.005445079,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,6,24436,,5,0,78.63446385,-8.20163958,3.78,0.34,1.31,0.5,0.193,-0.03,HIP1,1.4021768789992224,264.55026,0.08994709,,0
hipparcos2,brightest,7,24608,P,75,4,79.17206466,45.99902905,76.2,0.46,75.25,-426.89,0.2385,0.795,HIP1,433.4716076053886,13.12336,0.006036746,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,8,7588,P,1,1,24.42813208,-57.23665985,23.39,0.57,87.0,-38.24,0.4233,-0.158,HIP1,95.03313948302456,42.753315,0.024369389,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,9,37279,D,75,4,114.82724202,5.22750758,284.56,1.26,-714.59,-1036.8,0.4607,0.432,HIP1,1259.203362487569,3.5141973,0.004427889,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,10,27989,P,1,2,88.79287149,7.40703653,6.55,0.83,27.54,11.3,0.4997,1.5,HIP1,29.76813060976453,152.67175,0.12671755,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,brightest,11,68702,,15,3,210.9560192,-60.37297887,8.32,0.5,-33.27,-23.16,0.5366,-0.231,HIP1,40.5373716464203,120.192314,0.060096156,hip_solution_type_not_5,1
hipparcos2,brightest,12,60718,P,17,3,186.64975588,-63.09905674,10.13,0.5,-35.83,-14.86,0.6739,-0.243,HIP1,38.789283313822644,98.71668,0.04935834,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,13,97649,P,5,0,297.69450819,8.86738473,194.95,0.57,536.23,385.29,0.8273,0.221,HIP1,660.2961434083952,5.1295204,0.0029238267,hip_component_flag,1
hipparcos2,brightest,14,65474,P,7,0,201.29835228,-11.16124494,13.06,0.7,-42.35,-30.67,0.8891,-0.235,HIP1,52.28930483378031,76.56968,0.053598773,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,15,80763,,1,2,247.35194829,-26.43194598,5.89,1.0,-12.11,-23.3,0.9757,1.865,HIP1,26.259133649075327,169.7793,0.16977929,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,16,21421,,1,0,68.98000194,16.50976158,48.94,0.77,63.45,-188.94,1.0024,1.538,HIP1,199.30937283529843,20.433184,0.015733551,hip_solution_type_not_5,1
hipparcos2,brightest,17,62434,,1,1,191.9304935,-59.68873267,11.71,0.98,-42.97,-16.18,1.1537,-0.238,HIP1,45.91528394772268,85.397095,0.08368915,hip_solution_type_not_5,1
hipparcos2,brightest,18,113368,,5,1,344.41177299,-29.6218368,129.81,0.47,328.95,-164.67,1.1808,0.145,HIP1,367.86452859714535,7.703567,0.0036206765,,0
hipparcos2,brightest,19,71681,D,95,3,219.9141246,-60.83948046,796.92,25.9,-3614.39,802.98,1.2429,0.9,HIP1,3702.511573580831,1.2548311,0.032500125,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,20,37826,,5,0,116.33068294,28.02631022,96.54,0.27,-626.55,-45.8,1.2947,0.991,HIP1,628.2217303627756,10.3584,0.0027967682,,0
hipparcos2,brightest,21,102098,P,5,0,310.35797281,45.28033431,2.31,0.32,2.01,1.85,1.2966,0.092,HIP1,2.7317759791022396,432.90045,0.13852814,parallax_frac_error_gt_0p1;hip_component_flag,2
hipparcos2,brightest,22,49669,,5,0,152.09358042,11.96719519,41.13,0.35,-248.73,5.59,1.3232,-0.087,HIP1,248.7928073719174,24.313152,0.008509603,,0
hipparcos2,brightest,23,33579,,5,0,104.65644415,-28.97208939,8.05,0.14,3.24,1.33,1.416,-0.211,HIP1,3.502356349659469,124.2236,0.017391304,,0
hipparcos2,brightest,24,85927,P,1,0,263.40219318,-37.10374869,5.71,0.75,-8.53,-30.8,1.5244,-0.231,HIP1,31.95936326024034,175.13135,0.1313485,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,brightest,25,25336,,7,0,81.28278339,6.34973457,12.92,0.52,-8.11,-12.88,1.5493,-0.224,HIP1,15.220594600737515,77.39938,0.040247675,hip_solution_type_not_5,1
hipparcos2,brightest,26,36850,,15,3,113.65001968,31.88863511,64.12,3.75,-191.45,-145.19,1.5811,0.034,HIP1,240.27742007937408,15.5957575,0.05848409,hip_solution_type_not_5,1
hipparcos2,brightest,27,25428,,5,0,81.57290832,28.60787362,24.36,0.34,22.76,-173.58,1.6151,-0.13,HIP1,175.06579905852544,41.050903,0.013957307,,0
hipparcos2,brightest,28,26311,,5,0,84.05338544,-1.20191724,1.65,0.45,1.44,-0.78,1.6235,-0.184,HIP1,1.6376812876747417,606.0606,0.27272728,parallax_frac_error_gt_0p1,1
hipparcos2,brightest,29,61084,,5,0,187.79137201,-57.11256917,36.83,0.18,28.23,-265.08,1.6299,1.6,HIP1,266.578955095859,27.151777,0.00488732,,0
hipparcos2,brightest,30,45238,,5,0,138.30100317,-69.71747241,28.82,0.11,-156.47,108.95,1.6625,0.07,HIP1,190.66453104864576,34.698128,0.003816794,,0
hipparcos2,brightest,31,26727,P,15,3,85.18968667,-1.94257852,4.43,0.64,3.19,2.03,1.6812,-0.199,HIP1,3.781137395017536,225.73364,0.14446953,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,brightest,32,109268,,5,0,332.05781852,-46.96061595,32.29,0.21,126.69,-147.47,1.6983,-0.07,HIP1,194.41645249309533,30.96934,0.006503561,,0
hipparcos2,brightest,33,39953,,7,0,122.38314733,-47.33661168,2.92,0.3,-6.07,10.43,1.7034,-0.145,HIP1,12.067717265498061,342.46576,0.10273973,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,34,62956,,5,0,193.50680405,55.95984299,39.51,0.2,111.91,-8.24,1.7545,-0.022,HIP1,112.21294800512105,25.31005,0.00506201,,0
hipparcos2,brightest,35,90185,,5,0,276.04310945,-34.38431461,22.76,0.24,-39.42,-124.2,1.7986,-0.031,HIP1,130.30570363571965,43.93673,0.010544815,,0
hipparcos2,brightest,36,67301,,5,0,206.8856091,49.31330297,31.38,0.24,-121.17,-14.91,1.7994,-0.099,HIP1,122.08389328654292,31.867432,0.0076481835,,0
hipparcos2,brightest,37,100751,,1,0,306.41187379,-56.73488065,18.24,0.52,6.9,-86.02,1.8583,-0.118,HIP1,86.29629424256872,54.824562,0.028508771,hip_solution_type_not_5,1
hipparcos2,brightest,38,30324,,5,0,95.67494722,-17.95591681,6.62,0.22,-3.23,-0.78,1.8911,-0.24,HIP1,3.322845166419886,151.0574,0.03323263,,0
hipparcos2,brightest,39,15863,P,5,0,51.08061917,49.86124305,6.44,0.17,23.75,-26.23,1.8972,0.481,HIP1,35.38467747486191,155.2795,0.026397515,hip_component_flag,1
hipparcos2,brightest,40,28360,,75,4,89.88237269,44.94743488,40.21,0.23,-56.44,-0.95,1.9038,0.077,HIP1,56.447994649943055,24.869436,0.0057199704,hip_solution_type_not_5,1
hipparcos2,brightest,41,86228,,15,3,264.32968931,-42.99782041,10.86,1.49,5.54,-3.12,1.9269,0.406,HIP1,6.358144383387342,92.08103,0.13720074,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,42,31681,D,1,2,99.42792544,16.39941401,29.84,2.23,13.81,-54.96,1.929,0.001,HIP1,56.66848948048642,33.512066,0.0747319,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,43,42913,,15,3,131.17582214,-54.70856805,40.49,0.39,28.99,-103.35,1.9511,0.043,HIP1,107.33891465819839,24.697454,0.009632007,hip_solution_type_not_5,1
hipparcos2,brightest,44,54061,,17,3,165.93265337,61.75111903,26.54,0.48,-134.11,-34.7,1.9519,1.061,HIP1,138.52646714617393,37.678974,0.018085906,hip_solution_type_not_5,1
hipparcos2,brightest,45,34444,,7,0,107.09785868,-26.39320762,2.03,0.38,-3.12,3.31,1.9628,0.671,HIP1,4.548681127535761,492.61084,0.18719211,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,46,41037,P,15,3,125.62860249,-59.50953781,5.39,0.42,-25.52,22.06,1.9996,1.196,HIP1,33.73298089407457,185.52876,0.077922076,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,47,27366,P,5,0,86.93911657,-9.66960181,5.04,0.22,1.46,-1.28,2.0065,-0.168,HIP1,1.9416487838947598,198.4127,0.043650795,hip_component_flag,1
hipparcos2,brightest,48,92855,,5,0,283.81631936,-26.29659425,14.32,0.29,15.14,-53.43,2.0095,-0.134,HIP1,55.53363395276776,69.832405,0.020251397,,0
hipparcos2,brightest,49,677,P,75,4,2.09653385,29.09082837,33.62,0.35,137.46,-163.44,2.0371,-0.038,HIP1,213.5600271586422,29.744202,0.01041047,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,50,112122,,7,0,340.66639547,-46.8845658,18.43,0.42,135.16,-4.38,2.0699,1.61,HIP1,135.23095059933578,54.259357,0.02278893,hip_solution_type_not_5,1
