catalog,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,cohorts,cohort_ranks,official_best_gaia_ids,has_official_best_neighbour,fis_supplemental_gaia_ids,has_fis_supplemental_match,any_gaia_hip_gaia_ids,has_any_gaia_hip_match,official_neighbourhood_gaia_ids
hipparcos2,13716,P,95,3,44.14346255,55.44266938,-41.3,32.53,784.65,-426.56,11.0857,1.384,HIP1,893.100809595423,,0.7876513,parallax_frac_error_gt_0p1;non_positive_parallax;hip_solution_type_not_5;hip_component_flag,4,high_pm,high_pm:265,459661938487951360,True,,False,459661938487951360,True,459661938487951360
hipparcos2,1068,D,15,3,3.31099339,69.32759463,49.91,6.05,723.93,-293.85,12.5847,1.4,HIP1,781.2953778181463,20.036064,0.1212182,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,high_pm,high_pm:366,,False,,False,,False,
hipparcos2,5165,G,1,2,16.52128448,-46.71849569,0.12,14.62,-80.81,34.97,3.4646,0.885,HIP1,88.05201303774946,8333.334,121.833336,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:260,4933453324590295040,True,,False,4933453324590295040,True,4933453324590295040
hipparcos2,9640,W,15,3,30.97466207,42.32984825,8.3,1.04,42.32,-49.3,2.2409,1.37,HIP1,64.97285894894883,120.481926,0.1253012,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:70,,False,,False,,False,
hipparcos2,12703,D,95,3,40.81165463,-54.11743555,100.33,34.48,-1.23,107.26,12.8502,0.0,HIP1,107.26705225743831,9.967109,0.3436659,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:184,,False,,False,,False,
hipparcos2,17448,W,15,3,56.07969333,32.28827337,2.91,0.73,8.18,-10.43,3.8583,0.022,HIP1,13.255085816395153,343.6426,0.2508591,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:402,216718178536050176,True,,False,216718178536050176,True,216718178536050176
hipparcos2,23416,D,75,4,75.49222145,43.82331367,1.53,1.29,-0.86,-2.66,3.1457,0.537,HIP1,2.7955679208346917,653.5948,0.84313726,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:189,205499655242974464,True,,False,205499655242974464,True,205499655242974464
hipparcos2,25930,D,55,3,83.0016655,-0.29909343,4.71,0.58,0.64,-0.69,2.1361,-0.175,HIP1,0.9411163583744573,212.31422,0.12314224,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:56,3220756843825383936,True,,False,3220756843825383936,True,3220756843825383936
hipparcos2,26549,G,55,3,84.68652551,-2.60006563,3.04,8.92,22.63,13.45,3.6811,-0.19,HIP1,26.32526163212818,328.9474,2.9342105,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:322,3216486443742786048,True,,False,3216486443742786048,True,3216486443742786048
hipparcos2,26551,G,15,3,84.69009956,-2.59968627,6.38,0.9,0.79,-0.9,3.7103,-0.18,HIP1,1.1975391434103522,156.7398,0.14106582,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:333,3216486478101982592,True,,False,3216486478101982592,True,3216486478101982592
hipparcos2,26727,P,15,3,85.18968667,-1.94257852,4.43,0.64,3.19,2.03,1.6812,-0.199,HIP1,3.781137395017536,225.73364,0.14446953,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:31,,False,,False,,False,
hipparcos2,27604,X,15,3,87.6646741,-1.42956995,106.36,57.92,-155.02,256.76,9.3023,0.24,HIP1,299.92815473042873,9.402031,0.5445656,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:166,,False,,False,,False,
hipparcos2,27989,P,1,2,88.79287149,7.40703653,6.55,0.83,27.54,11.3,0.4997,1.5,HIP1,29.76813060976453,152.67175,0.12671755,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:10,,False,,False,,False,
hipparcos2,28936,D,95,3,91.61127338,10.74846833,68.46,36.13,62.26,-7.87,9.5407,0.377,HIP1,62.75543402766011,14.60707,0.5277535,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:458,,False,,False,,False,
hipparcos2,29655,W,17,3,93.71956913,22.5068238,8.48,1.23,-62.46,-12.12,3.2945,1.6,HIP1,63.625042239671636,117.92454,0.14504717,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:220,,False,3377072212924335488,True,3377072212924335488,True,
hipparcos2,30867,G,15,3,97.20447391,-7.03305166,4.82,1.12,-6.86,-2.76,3.7921,-0.113,HIP1,7.3944032889747096,207.46887,0.23236513,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,brightest,brightest:370,3006953165675574272,True,,False,3006953165675574272,True,3006953165675574272
hipparcos2,42525,G,1,2,130.04985774,41.28551613,68.54,15.51,2.83,-48.77,10.0747,0.47,HIP1,48.85203987552618,14.59002,0.22629122,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:455,913394034663259008,True,,False,913394034663259008,True,913394034663259008
hipparcos2,50636,D,95,3,155.13539761,-23.64438545,83.32,38.76,-87.55,-125.88,9.8526,0.678,HIP1,153.33224351061978,12.001921,0.4651944,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:290,,False,,False,,False,
hipparcos2,57146,X,15,3,175.80011899,-39.43281685,187.2,37.48,-319.83,203.84,9.7727,0.0,HIP1,379.2650451860809,5.3418803,0.20021367,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:48,,False,,False,,False,
hipparcos2,58910,X,15,3,181.20343206,-62.00231369,181.26,44.81,-31.12,-28.88,7.8077,0.626,HIP1,42.45596306763044,5.5169373,0.24721396,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:51,,False,,False,,False,
hipparcos2,62951,D,95,3,193.49471777,-18.03500736,132.83,38.32,-21.92,148.7,8.8994,0.497,HIP1,150.30694062484272,7.5284195,0.28848904,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:99,,False,,False,,False,
hipparcos2,63721,G,95,3,195.86951067,25.79708295,216.62,56.53,-12.24,-39.84,8.8608,0.455,HIP1,41.677850232467605,4.616379,0.2609639,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,nearest,nearest:34,,False,,False,,False,
hipparcos2,67593,D,95,3,207.75601522,23.76362328,187.76,66.41,2118.73,5397.57,13.2083,0.0,HIP1,5798.5152166567605,5.325948,0.35369623,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,high_pm;nearest,high_pm:6;nearest:47,,False,,False,,False,
