catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,1,87937,,5,0,269.45402263,4.66828781,548.31,1.51,-798.58,10328.12,9.4901,1.57,HIP1,10358.947473117141,1.8237858,0.0027539167,,0
hipparcos2,high_pm,2,24186,,5,0,77.89672072,-45.00448692,255.66,0.91,6505.08,-5730.84,8.932,1.543,HIP1,8669.405568549668,3.911445,0.003559415,,0
hipparcos2,high_pm,3,57939,,5,0,178.23256805,37.73280853,109.99,0.41,4003.98,-5813.62,6.5641,0.754,HIP1,7059.03912333683,9.091736,0.0037276116,,0
hipparcos2,high_pm,4,114046,,5,0,346.44652121,-35.85629698,305.26,0.7,6768.2,1327.52,7.4182,1.483,HIP1,6897.16177789096,3.2758958,0.0022931271,,0
hipparcos2,high_pm,5,439,,5,0,1.33455554,-37.35168099,230.42,0.9,5634.68,-2337.71,8.6181,1.462,HIP1,6100.369394266219,4.339901,0.0039059108,,0
hipparcos2,high_pm,6,67593,D,95,3,207.75601522,23.76362328,187.76,66.41,2118.73,5397.57,13.2083,0.0,HIP1,5798.5152166567605,5.325948,0.35369623,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,high_pm,7,104214,G,5,0,316.71181137,38.74149513,286.82,6.78,4168.31,3269.2,5.3685,1.069,HIP1,5297.402844422916,3.4865072,0.023638519,hip_component_flag,1
hipparcos2,high_pm,8,104217,,5,0,316.71746849,38.73441383,285.88,0.54,4106.9,3144.68,6.1467,1.309,HIP1,5172.585418569712,3.497971,0.0018889045,,0
hipparcos2,high_pm,9,54035,,5,0,165.83588432,35.98146372,392.64,0.67,-580.27,-4765.85,7.5062,1.502,HIP1,4801.045666872999,2.5468621,0.0017063977,,0
hipparcos2,high_pm,10,108870,,5,0,330.82266485,-56.77980581,276.06,0.28,3960.93,-2539.23,4.831,1.056,HIP1,4704.960728614002,3.622401,0.0010142722,,0
hipparcos2,high_pm,11,54211,,5,0,166.383858,43.52448478,206.27,1.0,-4410.43,942.93,8.8028,1.491,HIP1,4510.100860269092,4.848015,0.0048480146,,0
hipparcos2,high_pm,12,19849,,5,0,63.82349253,-7.64455857,200.62,0.23,-2240.12,-3420.27,4.5615,0.82,HIP1,4088.5675348830914,4.984548,0.0011464461,,0
hipparcos2,high_pm,13,70890,,5,0,217.44894744,-62.68135186,771.64,2.6,-3775.75,765.54,10.7613,1.807,HIP1,3852.5757038765637,1.2959411,0.0033694466,,0
hipparcos2,high_pm,14,5336,D,75,4,17.05383814,54.92422782,132.38,0.82,3422.23,-1598.93,5.2898,0.704,HIP1,3777.3317722699444,7.554011,0.006194289,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,high_pm,15,36208,,5,0,111.85068496,5.23476427,262.98,1.39,572.51,-3693.51,9.8128,1.573,HIP1,3737.617398851841,3.8025703,0.0052855727,,0
hipparcos2,high_pm,16,71683,D,95,3,219.92040813,-60.83514522,754.81,4.11,-3679.25,473.67,0.1373,0.71,HIP1,3709.615051646195,1.3248367,0.005445079,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,high_pm,17,71681,D,95,3,219.9141246,-60.83948046,796.92,25.9,-3614.39,802.98,1.2429,0.9,HIP1,3702.511573580831,1.2548311,0.032500125,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,high_pm,18,74235,,5,0,227.55706029,-16.37079382,34.65,1.28,-997.47,-3543.55,9.2001,0.77,HIP1,3681.2624197956875,28.860027,0.036940835,,0
hipparcos2,high_pm,19,74234,,5,0,227.55657098,-16.45431172,35.14,1.48,-999.75,-3542.6,9.5677,0.85,HIP1,3680.9665609048934,28.457598,0.042117245,,0
hipparcos2,high_pm,20,105090,,5,0,319.32379705,-38.86457457,253.41,0.8,-3260.29,-1146.22,6.753,1.397,HIP1,3455.909601320613,3.9461741,0.0031569393,,0
