catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,nearest,1,71681,D,95,3,219.9141246,-60.83948046,796.92,25.9,-3614.39,802.98,1.2429,0.9,HIP1,3702.511573580831,1.2548311,0.032500125,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,2,70890,,5,0,217.44894744,-62.68135186,771.64,2.6,-3775.75,765.54,10.7613,1.807,HIP1,3852.5757038765637,1.2959411,0.0033694466,,0
hipparcos2,nearest,3,71683,D,95,3,219.92040813,-60.83514522,754.81,4.11,-3679.25,473.67,0.1373,0.71,HIP1,3709.615051646195,1.3248367,0.005445079,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,4,87937,,5,0,269.45402263,4.66828781,548.31,1.51,-798.58,10328.12,9.4901,1.57,HIP1,10358.947473117141,1.8237858,0.0027539167,,0
hipparcos2,nearest,5,54035,,5,0,165.83588432,35.98146372,392.64,0.67,-580.27,-4765.85,7.5062,1.502,HIP1,4801.045666872999,2.5468621,0.0017063977,,0
hipparcos2,nearest,6,32349,X,0,4,101.28854105,-16.71314306,379.21,1.58,-546.01,-1223.07,-1.0876,0.009,HIP1,1339.412985228977,2.6370614,0.004166557,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,7,92403,,5,0,282.45398294,-23.83576453,336.72,2.03,637.02,-191.64,10.4124,1.51,HIP1,665.2220456358914,2.9698265,0.0060287477,,0
hipparcos2,nearest,8,16537,P,5,0,53.23509022,-9.45830604,310.94,0.16,-975.17,19.49,3.8652,0.881,HIP1,975.3647466460944,3.2160544,0.0005145687,hip_component_flag,1
hipparcos2,nearest,9,114046,,5,0,346.44652121,-35.85629698,305.26,0.7,6768.2,1327.52,7.4182,1.483,HIP1,6897.16177789096,3.2758958,0.0022931271,,0
hipparcos2,nearest,10,57548,,5,0,176.93351314,0.8075261,298.04,2.3,605.26,-1219.28,11.0693,1.746,HIP1,1361.24332358326,3.3552542,0.0077170846,,0
hipparcos2,nearest,11,91772,,95,3,280.70212874,59.62236608,289.48,3.21,-1338.68,1809.15,9.9964,1.561,HIP1,2250.5750076147206,3.45447,0.011088849,hip_solution_type_not_5,1
hipparcos2,nearest,12,104214,G,5,0,316.71181137,38.74149513,286.82,6.78,4168.31,3269.2,5.3685,1.069,HIP1,5297.402844422916,3.4865072,0.023638519,hip_component_flag,1
hipparcos2,nearest,13,104217,,5,0,316.71746849,38.73441383,285.88,0.54,4106.9,3144.68,6.1467,1.309,HIP1,5172.585418569712,3.497971,0.0018889045,,0
hipparcos2,nearest,14,37279,D,75,4,114.82724202,5.22750758,284.56,1.26,-714.59,-1036.8,0.4607,0.432,HIP1,1259.203362487569,3.5141973,0.004427889,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,15,91768,,95,3,280.700901,59.62601596,280.18,2.18,-1332.03,1807.48,8.9218,1.504,HIP1,2245.28124547906,3.5691342,0.007780713,hip_solution_type_not_5,1
hipparcos2,nearest,16,1475,,5,0,4.58559072,44.02195596,278.76,0.77,2888.92,410.1,8.1451,1.56,HIP1,2917.882927123705,3.587315,0.0027622327,,0
hipparcos2,nearest,17,108870,,5,0,330.82266485,-56.77980581,276.06,0.28,3960.93,-2539.23,4.831,1.056,HIP1,4704.960728614002,3.622401,0.0010142722,,0
hipparcos2,nearest,18,8102,,5,0,26.02136459,-15.93955572,273.96,0.17,-1721.05,854.16,3.6295,0.727,HIP1,1921.3543161270386,3.650168,0.0006205286,,0
hipparcos2,nearest,19,5643,,5,0,18.12459164,-17.00053939,271.01,8.36,1208.53,640.73,11.9597,1.85,HIP1,1367.874151301939,3.6899006,0.030847568,,0
hipparcos2,nearest,20,82724,D,95,3,253.63224879,-62.40021889,270.53,43.44,322.48,221.6,11.958,1.729,HIP1,391.27983643423283,3.6964478,0.16057369,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,nearest,21,36208,,5,0,111.85068496,5.23476427,262.98,1.39,572.51,-3693.51,9.8128,1.573,HIP1,3737.617398851841,3.8025703,0.0052855727,,0
hipparcos2,nearest,22,24186,,5,0,77.89672072,-45.00448692,255.66,0.91,6505.08,-5730.84,8.932,1.543,HIP1,8669.405568549668,3.911445,0.003559415,,0
hipparcos2,nearest,23,105090,,5,0,319.32379705,-38.86457457,253.41,0.8,-3260.29,-1146.22,6.753,1.397,HIP1,3455.909601320613,3.9461741,0.0031569393,,0
hipparcos2,nearest,24,110893,,15,3,337.00174035,57.69701976,249.94,1.87,-865.47,-461.53,9.5728,1.613,HIP1,980.8405893925883,4.0009604,0.0074817957,hip_solution_type_not_5,1
hipparcos2,nearest,25,72511,G,95,3,222.38965616,-26.10604657,247.89,44.85,-1372.02,180.11,11.8102,1.48,HIP1,1383.7913471690738,4.0340476,0.18092702,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,nearest,26,30920,,5,1,97.34581159,-2.81247675,242.32,3.12,705.28,-611.92,10.9841,1.69,HIP1,933.7376316717667,4.1267743,0.0128755355,,0
hipparcos2,nearest,27,82725,D,95,3,253.63396185,-62.40373245,241.17,33.78,280.74,189.74,11.8651,0.0,HIP1,338.8454149018399,4.146453,0.14006718,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
