status,official_source,official_source_id,gaia_source_id,hip_source_id,proper_name,simbad_main_id,current_distance_source,reason_for_external_search,next_action,resolved_distance_pc,resolved_distance_error_pc,resolved_reference,resolution_notes
provisional,gaia,6092787730773333248,6092787730773333248,,,HD 124857,GEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,825.491,29.438,"Gaia Collaboration 2018, A&A 616 A1 (Gaia DR2 I/345)",Exact DR2 source parallax 1.2114±0.0432 mas. The same source has DR3 parallax -0.1885±0.0568 mas and RUWE=2.34; retain DR2 as the best published value but audit the release/component conflict before promotion.
provisional,gaia,3396380255582857728,3396380255582857728,,,* 126 Tau,PHOTOGEO_WEAK,prior_authority_review_likely_bad,seek_better_object_specific_measurement_before_promotion,194.9,30.8,"van Leeuwen 2007, A&A 474 653 (2007A&A...474..653V)",Revised Hipparcos parallax 5.13±0.81 mas for the B3 IV visual multiple. The value is spectrally plausible; Gaia DR3 RUWE=4.80 is not usable as a single-star solution.
resolved,hip,6371,400665958469700608,6371,,HD   8160,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,603.57,17.2809,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 588.12–620.85 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.55. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,102558,2193401525619301632,102558,,V* V416 Cep,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,857.64,42.82,"Bailer-Jones et al. 2021, AJ 161 147 (2021AJ....161..147B; VizieR I/352)","Gaia EDR3 photogeometric posterior 818.94–900.45 pc (16th–84th percentile), parallax 1.1569±0.0483 mas, RUWE=1.70. Best catalog distance for the long-period variable, but non-single astrometry remains marginal."
resolved,hip,90910,4283444727691310592,90910,,HD 171089,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,556.769,100.727,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 456.04–559.96 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=2.04. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,34935,3059185637349794048,34935,,BD-04  1862,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,1024.87,136.985,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 972.32–1161.86 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.53. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,27847,3428250287309752704,27847,,HD  39416,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,670.661,54.3616,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 616.30–717.28 pc; fidelity=0.999; SH_OUTFLAG=0000; Gaia RUWE=2.10. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
resolved,hip,86601,4500773165232873728,86601,,BD+15  3251,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,595.271,60.2073,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 538.29–655.48 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=5.44. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,38545,5601161619183311616,38545,,HD  64569,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,696.506,101.942,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 663.98–798.45 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=1.65. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
provisional,hip,111702,2008351622725309312,111702,,HD 214541,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,419.373,17.4235,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 401.95–426.14 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=2.15. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,1056,2321529196147639296,1056,,HD    892,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,291.06,8.02663,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 284.08–299.09 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=1.46. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,16881,4848161218324030720,16881,,HD  22704,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,292.074,2.3394,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 289.73–293.53 pc; fidelity=1.000; SH_OUTFLAG=1001; Gaia RUWE=1.43. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,85773,5974713650999513600,85773,,HD 158564,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,560.162,74.3666,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 530.64–634.53 pc; fidelity=1.000; SH_OUTFLAG=0000; Gaia RUWE=2.87. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
provisional,hip,98642,4221182888892627200,98642,,HD 189824,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,seek_better_object_specific_measurement_before_promotion,486.505,19.3365,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)","StarHorse EDR3 posterior: 16th–84th percentile 476.47–505.84 pc; fidelity=1.000; SH_OUTFLAG=0010; Gaia RUWE=2.23. Best published catalog value, retained provisionally because a quality flag or low fidelity remains."
resolved,hip,61780,1541106185035156480,61780,,BD+45  2057,HIP_EDSD,prior_authority_review_likely_bad;hipparcos_distance_is_generic_edsd_fallback,review_and_promote_to_versioned_override,916.357,86.4001,"Anders et al. 2022, A&A 658 A91 (2022A&A...658A..91A; VizieR I/354)",StarHorse EDR3 posterior: 16th–84th percentile 844.27–1002.76 pc; fidelity=0.998; SH_OUTFLAG=0000; Gaia RUWE=2.95. Clean StarHorse result; supersedes the generic HIP_EDSD fallback.
